Column1;ProductType;LoadFamily;LoadLevel;ShearFamily;ShearLevel;Height;TopCover;ProductLength;f__ck;MRdPos;MRdNeg;VRdPos;VRdNeg;VRdMax;NRd;HRd;TanALPHA;SpringStiff;LambdaEq;InsThickness;ProductFamily;AnchoLength;minLength;DoubleMoment;DoubleShear;Type;;;;;;;;;;;;;;;;;;
1;TEBEA CM1-V1-CC35-H160;CM;CM1;V;V1;160;35;1000;20;0;-9405000;20892;0;144000;0;0;0.941228254;999;0.103322033;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
2;TEBEA CM1-V1-CC35-H170;CM;CM1;V;V1;170;35;1000;20;0;-10505000;20892;0;156000;0;0;0.832101317;1262;0.099597207;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
3;TEBEA CM1-V1-CC35-H180;CM;CM1;V;V1;180;35;1000;20;0;-11605000;20892;0;168000;0;0;0.743002144;1562;0.096286251;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
4;TEBEA CM1-V1-CC35-H190;CM;CM1;V;V1;190;35;1000;20;0;-12705000;20892;0;180000;0;0;0.668728718;1900;0.093323817;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
5;TEBEA CM1-V1-CC35-H200;CM;CM1;V;V1;200;35;1000;20;0;-13805000;20892;0;192000;0;0;0.605737037;2279;0.090657626;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
6;TEBEA CM1-V1-CC35-H210;CM;CM1;V;V1;210;35;1000;20;0;-14905000;20892;0;204000;0;0;0.551529296;2702;0.088245358;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
7;TEBEA CM1-V1-CC35-H220;CM;CM1;V;V1;220;35;1000;20;0;-16005000;20892;0;216000;0;0;0.504294374;3174;0.086052387;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
8;TEBEA CM1-V1-CC35-H230;CM;CM1;V;V1;230;35;1000;20;0;-17105000;20892;0;228000;0;0;0.462687033;3697;0.08405011;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
9;TEBEA CM1-V1-CC35-H240;CM;CM1;V;V1;240;35;1000;20;0;-18205000;20892;0;240000;0;0;0.425687167;4277;0.082214688;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
10;TEBEA CM1-V1-CC35-H250;CM;CM1;V;V1;250;35;1000;20;0;-19305000;20892;0;252000;0;0;0.392507174;4918;0.080526101;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
11;TEBEA CM1-V3-CC35-H160;CM;CM1;V;V3;160;35;1000;20;0;-9405000;32644;0;144000;0;0;0.941228254;999;0.112482917;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
12;TEBEA CM1-V3-CC35-H170;CM;CM1;V;V3;170;35;1000;20;0;-10505000;32644;0;156000;0;0;0.832101317;1262;0.108219216;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
13;TEBEA CM1-V3-CC35-H180;CM;CM1;V;V3;180;35;1000;20;0;-11605000;32644;0;168000;0;0;0.743002144;1562;0.104429259;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
14;TEBEA CM1-V3-CC35-H190;CM;CM1;V;V3;190;35;1000;20;0;-12705000;32644;0;180000;0;0;0.668728718;1900;0.101038246;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
15;TEBEA CM1-V3-CC35-H200;CM;CM1;V;V3;200;35;1000;20;0;-13805000;32644;0;192000;0;0;0.605737037;2279;0.097986333;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
16;TEBEA CM1-V3-CC35-H210;CM;CM1;V;V3;210;35;1000;20;0;-14905000;32644;0;204000;0;0;0.551529296;2702;0.095225079;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
17;TEBEA CM1-V3-CC35-H220;CM;CM1;V;V3;220;35;1000;20;0;-16005000;32644;0;216000;0;0;0.504294374;3174;0.092714849;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
18;TEBEA CM1-V3-CC35-H230;CM;CM1;V;V3;230;35;1000;20;0;-17105000;32644;0;228000;0;0;0.462687033;3697;0.090422899;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
19;TEBEA CM1-V3-CC35-H240;CM;CM1;V;V3;240;35;1000;20;0;-18205000;32644;0;240000;0;0;0.425687167;4277;0.088321945;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
